사용월,시간대,지하철역,평균배차간격,호선명,Lati,Long,승차인원수,승차혼잡도,열차운행횟수,지하철역순서,하차인원수,하차혼잡도,혼잡도
2021-01-01 오전 12:00:00,13:00:00~13:59:59,미아(서울사이버대학),5분 36초,4호선,37.62667,127.02598,17624,1762.4,10,20,14842,1484.2,1762.4
2021-01-01 오전 12:00:00,14:00:00~14:59:59,미아(서울사이버대학),5분 30초,4호선,37.62667,127.02598,17551,1595.545454545,11,20,15854,1441.272727273,1595.545454545
2021-01-01 오전 12:00:00,15:00:00~15:59:59,미아(서울사이버대학),5분 40초,4호선,37.62667,127.02598,16454,1495.818181818,11,20,20240,1840,1495.818181818
2021-01-01 오전 12:00:00,16:00:00~16:59:59,미아(서울사이버대학),5분 5초,4호선,37.62667,127.02598,16757,1523.363636364,11,20,21814,1983.090909091,1523.363636364
2021-01-01 오전 12:00:00,17:00:00~17:59:59,미아(서울사이버대학),5분 35초,4호선,37.62667,127.02598,18593,1690.272727273,11,20,26722,2429.272727273,1690.272727273
2021-01-01 오전 12:00:00,18:00:00~18:59:59,미아(서울사이버대학),3분 58초,4호선,37.62667,127.02598,21535,1345.9375,16,20,41813,2613.3125,1345.9375
2021-01-01 오전 12:00:00,19:00:00~19:59:59,미아(서울사이버대학),3분 31초,4호선,37.62667,127.02598,11958,747.375,16,20,34790,2174.375,747.375
2021-01-01 오전 12:00:00,20:00:00~20:59:59,미아(서울사이버대학),3분 40초,4호선,37.62667,127.02598,8394,493.764705882,17,20,21437,1261,493.764705882
2021-01-01 오전 12:00:00,21:00:00~21:59:59,미아(서울사이버대학),4분 15초,4호선,37.62667,127.02598,8004,571.714285714,14,20,24158,1725.571428571,571.714285714
2021-01-01 오전 12:00:00,22:00:00~22:59:59,미아(서울사이버대학),7분 37초,4호선,37.62667,127.02598,3594,449.25,8,20,11331,1416.375,449.25
2021-01-01 오전 12:00:00,23:00:00~23:59:59,미아(서울사이버대학),8분 55초,4호선,37.62667,127.02598,1095,182.5,6,20,5438,906.333333333,182.5
2021-01-01 오전 12:00:00,05:00:00~05:59:59,미아사거리,,4호선,37.61329,127.03005,11328,11328,1,19,1714,1714,11328
2021-01-01 오전 12:00:00,06:00:00~06:59:59,미아사거리,9분 30초,4호선,37.61329,127.03005,29354,4193.428571429,7,19,6225,889.285714286,4193.428571429
2021-01-01 오전 12:00:00,07:00:00~07:59:59,미아사거리,4분 36초,4호선,37.61329,127.03005,75130,5779.230769231,13,19,11606,892.769230769,5779.230769231
2021-01-01 오전 12:00:00,08:00:00~08:59:59,미아사거리,2분 52초,4호선,37.61329,127.03005,85753,4287.65,20,19,26926,1346.3,4287.65
2021-01-01 오전 12:00:00,09:00:00~09:59:59,미아사거리,3분 21초,4호선,37.61329,127.03005,48283,2682.388888889,18,19,28926,1607,2682.388888889
2021-01-01 오전 12:00:00,10:00:00~10:59:59,미아사거리,4분 8초,4호선,37.61329,127.03005,32463,2318.785714286,14,19,22958,1639.857142857,2318.785714286
2021-01-01 오전 12:00:00,11:00:00~11:59:59,미아사거리,5분 24초,4호선,37.61329,127.03005,30067,2733.363636364,11,19,22787,2071.545454545,2733.363636364
2021-01-01 오전 12:00:00,12:00:00~12:59:59,미아사거리,5분 38초,4호선,37.61329,127.03005,30826,2802.363636364,11,19,25212,2292,2802.363636364
2021-01-01 오전 12:00:00,13:00:00~13:59:59,미아사거리,5분 35초,4호선,37.61329,127.03005,32504,2954.909090909,11,19,27458,2496.181818182,2954.909090909
2021-01-01 오전 12:00:00,14:00:00~14:59:59,미아사거리,5분 30초,4호선,37.61329,127.03005,31616,3161.6,10,19,31743,3174.3,3161.6
2021-01-01 오전 12:00:00,15:00:00~15:59:59,미아사거리,5분 40초,4호선,37.61329,127.03005,32694,2972.181818182,11,19,37888,3444.363636364,2972.181818182
2021-01-01 오전 12:00:00,16:00:00~16:59:59,미아사거리,5분 7초,4호선,37.61329,127.03005,33534,2794.5,12,19,41663,3471.916666667,2794.5
2021-01-01 오전 12:00:00,17:00:00~17:59:59,미아사거리,5분 32초,4호선,37.61329,127.03005,32691,2971.909090909,11,19,56121,5101.909090909,2971.909090909
2021-01-01 오전 12:00:00,18:00:00~18:59:59,미아사거리,3분 54초,4호선,37.61329,127.03005,34672,2311.466666667,15,19,90016,6001.066666667,2311.466666667
2021-01-01 오전 12:00:00,19:00:00~19:59:59,미아사거리,3분 33초,4호선,37.61329,127.03005,24403,1435.470588235,17,19,69862,4109.529411765,1435.470588235
2021-01-01 오전 12:00:00,20:00:00~20:59:59,미아사거리,3분 38초,4호선,37.61329,127.03005,28298,1664.588235294,17,19,39872,2345.411764706,1664.588235294
2021-01-01 오전 12:00:00,21:00:00~21:59:59,미아사거리,4분 18초,4호선,37.61329,127.03005,17507,1346.692307692,13,19,45035,3464.230769231,1346.692307692
2021-01-01 오전 12:00:00,22:00:00~22:59:59,미아사거리,7분 37초,4호선,37.61329,127.03005,6222,777.75,8,19,19722,2465.25,777.75
2021-01-01 오전 12:00:00,23:00:00~23:59:59,미아사거리,8분 55초,4호선,37.61329,127.03005,1910,318.333333333,6,19,8232,1372,318.333333333
2021-01-01 오전 12:00:00,05:00:00~05:59:59,사당,10분 0초,4호선,37.47695,126.98165,7796,2598.666666667,3,2,744,248,2598.666666667
